6	H	1.0	100000	3.1	3.4	3.2
6	H	5.0	60000	9.4	10.2	9.7
6	H	5.0	80000	7.3	7.9	7.6
6	H	5.0	100000	6.2	6.7	6.4
6	H	10.0	60000	17.5	18.9	18.1
6	H	10.0	80000	14.5	15.6	15.0
6	H	10.0	100000	12.6	13.6	13.1
6	K	1.0	60000	7.4	8.3	7.9
6	K	1.0	80000	5.0	5.6	5.3
6	K	1.0	100000	3.8	4.3	4.1
6	K	5.0	60000	11.8	13.3	12.6
6	K	5.0	80000	9.1	10.3	9.8
6	K	5.0	100000	7.7	8.6	8.2
6	K	10.0	60000	22.7	25.5	24.2
6	K	10.0	80000	18.8	21.1	20.0
6	K	10.0	100000	16.4	18.4	17.5
9	Z	1.0	60000	3.3	9.4	3.4
9	Z	1.0	80000	2.0	5.7	2.1
9	Z	1.0	100000	1.4	4.0	1.5
9	Z	5.0	60000	5.8	17.0	6.1
9	Z	5.0	80000	4.4	12.8	4.6
9	Z	5.0	100000	3.7	10.6	3.9
9	Z	10.0	60000	12.2	33.6	12.7
9	Z	10.0	80000	10.0	27.5	10.4
9	Z	10.0	100000	8.6	23.8	9.0
9	Y	1.0	60000	4.2	4.4	4.3
9	Y	1.0	80000	2.7	2.8	2.7
9	Y	1.0	100000	1.9	2.0	1.9
9	Y	5.0	60000	6.9	7.1	7.0
9	Y	5.0	80000	5.3	5.5	5.4
9	Y	5.0	100000	4.5	4.6	4.5
9	Y	10.0	60000	11.9	12.2	12.0
9	Y	10.0	80000	9.9	10.1	10.0
9	Y	10.0	100000	8.5	8.8	8.6
9	J	1.0	60000	5.7	18.9	6.0
9	J	1.0	80000	3.6	11.9	3.8
9	J	1.0	100000	2.6	8.5	2.7
9	J	5.0	60000	9.5	31.5	10.1
9	J	5.0	80000	7.3	24.2	7.7
9	J	5.0	100000	6.1	20.3	6.5
9	J	10.0	60000	17.8	57.5	18.8
9	J	10.0	80000	14.7	47.3	15.6
9	J	10.0	100000	12.8	41.1	13.6
9	H	1.0	60000	4.7	5.1	4.8
9	H	1.0	80000	3.2	3.4	3.3
9	H	1.0	100000	2.4	2.6	2.5
9	H	5.0	60000	7.4	8.1	7.7
9	H	5.0	80000	5.8	6.3	6.0
9	H	5.0	100000	4.9	5.3	5.0
9	H	10.0	60000	13.9	15.1	14.5
9	H	10.0	80000	11.5	12.5	12.0
9	H	10.0	100000	10.1	10.9	10.4
9	K	1.0	60000	5.5	6.2	5.9
9	K	1.0	80000	3.7	4.2	4.0
9	K	1.0	100000	2.8	3.2	3.0
9	K	5.0	60000	9.0	10.1	9.6
9	K	5.0	80000	6.9	7.8	7.4
9	K	5.0	100000	5.9	6.6	6.2
9	K	10.0	60000	17.1	19.3	18.3
9	K	10.0	80000	14.2	16.0	15.1
9	K	10.0	100000	12.4	14.0	13.2
